Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
SIDS Susceptibility Pathways_Homo sapiens_WP706	4/160	0.0118260724921739023007827285027815378271043300628662109375	0.02562315706637678658363910244588623754680156707763671875	0.014556168527281330982159346376647590659558773040771484375	0.031538365142442882638196266498198383487761020660400390625	-1.8062707684044657	6.618643492327184	CHRNB2;CHRNB4;CHRNA4;GRIN1
TarBasePathway_Homo sapiens_WP1992	2/18	0.004329997910345451291036500407471976359374821186065673828125	0.01023454051536197562111141223795129917562007904052734375	0.005878784420902972811251441243030058103613555431365966796875	0.01389530863122520783214941531014119391329586505889892578125	-1.1429585281535481	5.237021065355716	HCN4;HCN2
Mecp2 and Associated Rett Syndrome_Homo sapiens_WP3584	2/48	0.0286890485193318119094829654613931779749691486358642578125	0.053279661535901932933878555331830284558236598968505859375	0.033989099661565914944905131278574117459356784820556640625	0.06312261365719383510164419703869498334825038909912109375	-1.4624725174370454	4.288262800899458	GABRR2;GRIN1
Mecp2 and Associated Rett Syndrome_Mus musculus_WP2910	2/46	0.026510700946174414749378911437815986573696136474609375	0.05302140189234882949875782287563197314739227294921875	0.031524781252588736368824839928493020124733448028564453125	0.06304956250517747273764967985698604024946689605712890625	-1.3953785493635995	4.098310016577661	GABRR2;GRIN1
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	7/808	0.157207079674252014900304175171186216175556182861328125	0.240434357148856026054062340335804037749767303466796875	0.1889149395483557258845763726640143431723117828369140625	0.288928731073955835650934886871255002915859222412109375	-1.7977547737675341	2.5623545665996983	GRID2;TRPV5;GRIN2B;PKD1;CACNG4;GRIN1;CACNG5
BDNF signaling pathway_Homo sapiens_WP2380	2/144	0.1878481805833052409315797603994724340736865997314453125	0.2713362608425520239308070813422091305255889892578125	0.2089591680459391420665582472793175838887691497802734375	0.301829909399689844118341852663434110581874847412109375	-1.7526707952883722	2.2861774974221185	GRIN2B;GRIN1
Notch Signaling Pathway_Homo sapiens_WP268	1/46	0.224296521171253981918880526791326701641082763671875	0.306932081602768580541606979750213213264942169189453125	0.2411762794538583332126790992333553731441497802734375	0.330030698200016681109758565071388147771358489990234375	-1.3359688269791563	1.5779512419964787	KCNJ5
PPAR signaling pathway_Mus musculus_WP2316	1/68	0.3131666730348474647627199374255724251270294189453125	0.4071166749453016819870754261501133441925048828125	0.333637980463725003499320109767722897231578826904296875	0.43372937460284244348684978831443004310131072998046875	-1.3462034065731772	1.209773046964912	AQP7
Corticotropin-releasing hormone_Homo sapiens_WP2355	1/92	0.398637696733596780251929203586769290268421173095703125	0.486696408989818085633061173211899586021900177001953125	0.42202422387018423410864897959982044994831085205078125	0.51480298100687604812009112720261327922344207763671875	-1.3421814584213128	0.9665246525713977	CACNA1H
Spinal Cord Injury_Mus musculus_WP2432	1/96	0.41182003837599989726214744223398156464099884033203125	0.486696408989818085633061173211899586021900177001953125	0.4356025223904336218794242086005397140979766845703125	0.51480298100687604812009112720261327922344207763671875	-1.3211410992316581	0.9513731797745094	GRIN1
Osteoclast Signaling_Homo sapiens_WP12	1/16	0.08449192145148760879624916242391918785870075225830078125	0.1372993723586673764369692207765183411538600921630859375	0.0947766852343161492200351858627982437610626220703125	0.1540121135057637424825571770270471461117267608642578125	-0.47863460611186026	0.9503728234657104	TRPV5
Spinal Cord Injury_Homo sapiens_WP2431	1/119	0.482246324265947101661566875918651930987834930419921875	0.5451480187354185158454811244155280292034149169921875	0.50786722162290220961011755207437090575695037841796875	0.574110772269367686249097459949553012847900390625	-1.4045469973944384	0.8521357519516148	GRIN1
Metapathway biotransformation_Mus musculus_WP1251	1/132	0.51828624527919531228548066792427562177181243896484375	0.56147676571912830123523008296615444123744964599609375	0.54464829350711030375720156371244229376316070556640625	0.59003565129936952349254397631739266216754913330078125	-1.4000317820051258	0.8080771825477553	KCNAB3
Metapathway biotransformation_Homo sapiens_WP702	1/178	0.62696544169937784563018112748977728188037872314453125	0.65204405936735299054163306209375150501728057861328125	0.6545612790632280297842271465924568474292755126953125	0.68074373022575718206184092196053825318813323974609375	-1.5542169050107497	0.664650203128974	KCNAB3
Circadian rythm related genes_Homo sapiens_WP3594	1/200	0.66997137144336005309952497555059380829334259033203125	0.66997137144336005309952497555059380829334259033203125	0.6975492055877918762263334429007954895496368408203125	0.6975492055877918762263334429007954895496368408203125	-1.4742637484768508	0.5904725539526137	CHRNB2
Osteoclast_Mus musculus_WP454	1/13	0.0692075199329915680124258869909681379795074462890625	0.1199597012171853827044998297424172051250934600830078125	0.07871071979230186144160796857249806635081768035888671875	0.1364319143066565487298902326074312441051006317138671875	-0.24101523612281386	0.5110967689188769	TRPV5
